2026-01-19 02:09:02,230 | INFO     | orderbook_manager | OrderBook Manager baslatildi
2026-01-19 02:09:02,630 | INFO     | orderbook_manager | OB bybit GALA/USDT bid=0.0075 ask=0.00752
2026-01-19 02:09:03,147 | INFO     | orderbook_manager | OB okx GALA/USDT bid=0.007504 ask=0.007508
2026-01-19 02:09:03,526 | INFO     | orderbook_manager | OB bybit SAND/USDT bid=0.1456 ask=0.1458
2026-01-19 02:09:03,943 | INFO     | orderbook_manager | OB okx SAND/USDT bid=0.1456 ask=0.1457
2026-01-19 02:09:04,314 | INFO     | orderbook_manager | OB bybit MANA/USDT bid=0.1574 ask=0.1576
2026-01-19 02:09:04,704 | INFO     | orderbook_manager | OB okx MANA/USDT bid=0.1575 ask=0.1577
2026-01-19 02:09:05,190 | INFO     | orderbook_manager | OB bybit AXS/USDT bid=1.936 ask=1.938
2026-01-19 02:09:05,704 | INFO     | orderbook_manager | OB okx AXS/USDT bid=1.9332 ask=1.9358
2026-01-19 02:09:06,122 | INFO     | orderbook_manager | OB bybit IMX/USDT bid=0.285 ask=0.287
2026-01-19 02:09:07,037 | INFO     | orderbook_manager | OB okx IMX/USDT bid=0.2857 ask=0.2861
2026-01-19 02:09:07,448 | INFO     | orderbook_manager | OB bybit ARB/USDT bid=0.2169 ask=0.2171
2026-01-19 02:09:07,959 | INFO     | orderbook_manager | OB okx ARB/USDT bid=0.217 ask=0.2171
2026-01-19 02:09:08,371 | INFO     | orderbook_manager | OB bybit OP/USDT bid=0.3404 ask=0.3405
2026-01-19 02:09:08,876 | INFO     | orderbook_manager | OB okx OP/USDT bid=0.3404 ask=0.3405
2026-01-19 02:09:09,299 | INFO     | orderbook_manager | OB okx METIS/USDT bid=5.691 ask=5.702
2026-01-19 02:09:09,696 | INFO     | orderbook_manager | OB bybit LDO/USDT bid=0.602 ask=0.6022
2026-01-19 02:09:10,208 | INFO     | orderbook_manager | OB okx LDO/USDT bid=0.6019 ask=0.6022
2026-01-19 02:09:20,659 | INFO     | orderbook_manager | OB bybit GALA/USDT bid=0.0075 ask=0.00752
2026-01-19 02:09:21,151 | INFO     | orderbook_manager | OB okx GALA/USDT bid=0.007503 ask=0.007506
2026-01-19 02:09:21,576 | INFO     | orderbook_manager | OB bybit SAND/USDT bid=0.1456 ask=0.1458
2026-01-19 02:09:21,997 | INFO     | orderbook_manager | OB okx SAND/USDT bid=0.1456 ask=0.1457
2026-01-19 02:09:22,495 | INFO     | orderbook_manager | OB bybit MANA/USDT bid=0.1574 ask=0.1576
2026-01-19 02:09:23,007 | INFO     | orderbook_manager | OB okx MANA/USDT bid=0.1575 ask=0.1577
2026-01-19 02:09:23,422 | INFO     | orderbook_manager | OB bybit AXS/USDT bid=1.94 ask=1.942
2026-01-19 02:09:23,929 | INFO     | orderbook_manager | OB okx AXS/USDT bid=1.9369 ask=1.9375
2026-01-19 02:09:24,349 | INFO     | orderbook_manager | OB bybit IMX/USDT bid=0.285 ask=0.287
2026-01-19 02:09:24,857 | INFO     | orderbook_manager | OB okx IMX/USDT bid=0.2856 ask=0.286
2026-01-19 02:09:25,281 | INFO     | orderbook_manager | OB bybit ARB/USDT bid=0.2169 ask=0.2171
2026-01-19 02:09:25,772 | INFO     | orderbook_manager | OB okx ARB/USDT bid=0.217 ask=0.2171
2026-01-19 02:09:26,186 | INFO     | orderbook_manager | OB bybit OP/USDT bid=0.3403 ask=0.3405
2026-01-19 02:09:26,603 | INFO     | orderbook_manager | OB okx OP/USDT bid=0.3404 ask=0.3405
2026-01-19 02:09:27,040 | INFO     | orderbook_manager | OB okx METIS/USDT bid=5.687 ask=5.701
2026-01-19 02:09:27,409 | INFO     | orderbook_manager | OB bybit LDO/USDT bid=0.6017 ask=0.6021
2026-01-19 02:09:27,777 | INFO     | orderbook_manager | OB okx LDO/USDT bid=0.6017 ask=0.6021
2026-01-19 02:09:38,273 | INFO     | orderbook_manager | OB bybit GALA/USDT bid=0.0075 ask=0.00752
2026-01-19 02:09:38,675 | INFO     | orderbook_manager | OB okx GALA/USDT bid=0.007504 ask=0.007508
2026-01-19 02:09:39,085 | INFO     | orderbook_manager | OB bybit SAND/USDT bid=0.1456 ask=0.1458
2026-01-19 02:09:39,494 | INFO     | orderbook_manager | OB okx SAND/USDT bid=0.1456 ask=0.1457
2026-01-19 02:09:40,006 | INFO     | orderbook_manager | OB bybit MANA/USDT bid=0.1574 ask=0.1576
2026-01-19 02:09:40,420 | INFO     | orderbook_manager | OB okx MANA/USDT bid=0.1575 ask=0.1577
2026-01-19 02:09:40,830 | INFO     | orderbook_manager | OB bybit AXS/USDT bid=1.94 ask=1.942
2026-01-19 02:09:41,353 | INFO     | orderbook_manager | OB okx AXS/USDT bid=1.9354 ask=1.9383
2026-01-19 02:09:41,750 | INFO     | orderbook_manager | OB bybit IMX/USDT bid=0.285 ask=0.287
2026-01-19 02:09:42,165 | INFO     | orderbook_manager | OB okx IMX/USDT bid=0.2856 ask=0.286
2026-01-19 02:09:42,529 | INFO     | orderbook_manager | OB bybit ARB/USDT bid=0.217 ask=0.2172
2026-01-19 02:09:42,992 | INFO     | orderbook_manager | OB okx ARB/USDT bid=0.217 ask=0.2171
2026-01-19 02:09:43,388 | INFO     | orderbook_manager | OB bybit OP/USDT bid=0.3404 ask=0.3405
2026-01-19 02:09:43,806 | INFO     | orderbook_manager | OB okx OP/USDT bid=0.3404 ask=0.3405
2026-01-19 02:09:44,205 | INFO     | orderbook_manager | OB okx METIS/USDT bid=5.682 ask=5.695
2026-01-19 02:09:44,617 | INFO     | orderbook_manager | OB bybit LDO/USDT bid=0.6011 ask=0.6015
2026-01-19 02:09:45,030 | INFO     | orderbook_manager | OB okx LDO/USDT bid=0.601 ask=0.6013
2026-01-19 02:09:55,470 | INFO     | orderbook_manager | OB bybit GALA/USDT bid=0.00749 ask=0.0075
2026-01-19 02:09:55,882 | INFO     | orderbook_manager | OB okx GALA/USDT bid=0.007493 ask=0.0075
2026-01-19 02:09:56,295 | INFO     | orderbook_manager | OB bybit SAND/USDT bid=0.1455 ask=0.1457
2026-01-19 02:09:56,804 | INFO     | orderbook_manager | OB okx SAND/USDT bid=0.1455 ask=0.1456
2026-01-19 02:09:57,204 | INFO     | orderbook_manager | OB bybit MANA/USDT bid=0.1573 ask=0.1575
2026-01-19 02:09:57,596 | INFO     | orderbook_manager | OB okx MANA/USDT bid=0.1574 ask=0.1576
2026-01-19 02:09:57,988 | INFO     | orderbook_manager | OB bybit AXS/USDT bid=1.942 ask=1.944
2026-01-19 02:09:58,397 | INFO     | orderbook_manager | OB okx AXS/USDT bid=1.9409 ask=1.9434
2026-01-19 02:09:58,794 | INFO     | orderbook_manager | OB bybit IMX/USDT bid=0.285 ask=0.287
2026-01-19 02:09:59,688 | INFO     | orderbook_manager | OB okx IMX/USDT bid=0.2854 ask=0.2857
2026-01-19 02:10:00,100 | INFO     | orderbook_manager | OB bybit ARB/USDT bid=0.2168 ask=0.2169
2026-01-19 02:10:00,511 | INFO     | orderbook_manager | OB okx ARB/USDT bid=0.2169 ask=0.217
2026-01-19 02:10:01,017 | INFO     | orderbook_manager | OB bybit OP/USDT bid=0.3402 ask=0.3403
2026-01-19 02:10:01,431 | INFO     | orderbook_manager | OB okx OP/USDT bid=0.3401 ask=0.3402
2026-01-19 02:10:01,841 | INFO     | orderbook_manager | OB okx METIS/USDT bid=5.683 ask=5.694
